Id,Nombre de la asociación,Objetivo ,ODS relacionadas ,Persona supervisora,Contacto,Cupo para voluntariado,Actividades posibles,Días y horarios disponibles ,Requerimientos específicos,Detalles
1,Fundación Emanuel de Mérida A.C,"Aliviar el sufrimiento de los niñas, niños y adolescentes víctimas del abandono, maltrato, abuso y desintegración familiar.",ODS 4: Educación de calidad.,Alejandra Acevedo Osorio ,999 370 7379,10,"-Apoyo con tareas escolares
 -Talleres",Lunes a viernes de 13:00 a 20:00 h,N/A,N/A
2,CRIT Yucatán (Fundación Teletón),Elevar la calidad de vida de las personas con discapacidad.,ODS 3: Salud y bienestar.,Andrea Castro Alamilla (Promotoría de Proyectos de Inclusión),9999407778 ext 7791 / andrea.castro@teleton.org.mx (Horario de atención: Lunes a viernes de 7:00 am a 3:00 pm),15,"-Fomentar la socialización y convivencia entre la niña o niño atendido de CRIT y la niña o niño voluntario asignados promoviendo su participación en el equipo. 
- Contribuir al cumplimiento de los objetivos médicos de las niñas, niños y jóvenes atendidos de CRIT (autonomía, confianza, desapego familiar, relaciones interpersonales, adaptación a distintos entornos, entre otros)
- Estar al pendiente de las necesidades especiales de las niños y/o niños que tienen asignados y comunicarlo al equipo de Staff. 
- Estar en todo momento con la niña o niño atendido de CRIT y la niña o niño voluntario durante el paseo del día y en caso de alguna incidencia notificarlo al equipo de área médica.
- Recibir y despedir a las niñas y niños asignados y a sus familias al inicio y al final del día.
- Promover un ambiente de amistad entre todas y todos.
- Participar activamente en las actividades al inicio del día dirigidas únicamente para voluntarias y voluntariados que promueven el liderazgo, trabajo en equipo y comunicación.
 
*Es indispensable la asistencia a todas las actividades del programa para participar en la temporada Primavera 2026.
","Temporada PRIMAVERA 2026 - Febrero: Sábados 14, 21 y 28 / Marzo: Sábados 7, 21 y 28 /  8:00 a 13:00 h (disponibilidad 6 sábados)","-Tener entre 18 y 25 años
- Registro en el siguiente formulario: https://forms.office.com/r/9uXrvt2e0M
- Asistir a una entrevista presencial en el CRIT Yucatán con Andrea Castro con el objetivo de platicar acerca del programa y sus funciones, conocer a las y los voluntarios, llenar solicitud de ingreso (datos personales, contactos de emergencia e información médica y alergias), firma de carta responsiva, firma de código de conducta y realizar prueba de personalidad.
- ⁠Pago de cuota de inscripción al finalizar la entrevista (incluye playera, gorra, gafete y transporte)
- En indispensable asistir a la capacitación de Amigas y Amigos Teletón (Sábado 14 de febrero de 8:00 am a 3:00 pm en el CRIT Yucatán) para completar la inscripción a la temporada. 

*Es indispensable la asistencia a todas las actividades (Capacitación y 5 paseos) del programa para participar en la temporada Primavera 2026.","- Es necesario registrarse en el siguiente formulario para solicitar la entrevista: https://forms.office.com/r/9uXrvt2e0M 
- El periodo de entrevistas para inscribirse al programa será del lunes 19 de enero 2026  al viernes 6 de febrero 2026.
- Las entrevistas se realizan de lunes a viernes de 8:00 am a 1:00 pm. 
- La duración de la entrevista es de aproximadamente 45 minutos. "
3,ESTANCIA SAN NICOLAS DE BARI A.C. - CUIDDAOS GERIATRICOS ,"Brindar apoyo a adultos mayores de escasos recursos, en situación de desamparo o abandono, que requieren asistencia y supervisión diaria. Servicios básicos: Enfermería, Hospedaje, Alimentación, Lavandería, Supervisión de medicamentos, Guardias nocturnas para supervisión y cuidado durante la noche. Dirigido a personas de la tercera edad, pensionadas o jubiladas, que necesitan apoyo diario debido a su edad o alguna discapacidad.
",ODS 3: Salud y bienestar.,Directora: Enf. Veronica Ibeth arcique caballero o Arq. Jesus Leonardo Arcique Caballero,9991123010 WhatsApp de la organización ,4,"-Supervicion y acompañamiento
-Asistencia en alimentacion 
-Terapia ocupacional, manualidades y activación física ",4 horas de lunes a domingo (contactar con la asociación para conocer horarios),N/A,"Las actividades están orientadas a que las y los estudiantes brinden acompañamiento y asistencia a las personas adultas mayores, apoyándoles durante la alimentación y participando en actividades recreativas y de activación física. Estas incluyen manualidades, ejercicios adaptados a sus capacidades y juegos diseñados para promover su bienestar integral. Cualquier duda o aclaración podrá ser atendida directamente por la directora, la Enf. Verónica Arcique, o por el secretario de la organización, el Arq. Leonardo Arcique."
4,Asociación de Mujeres Yucatecas Contra el Cáncer,Informar y concientizar a la población sobre los factores que facilitan la prevención y detección precoz de cáncer de mama y cervicouterino con la finalidad de disminuir sus tasas de incidencia y muerte en las mujeres de escasos recursos de la Península de Yucatán y otros estados de la república.,ODS 3: Salud y bienestar.,"Maria Beatriz Ortega Cano, Luz María Herrera Ruz, Rossana Bojórquez Alemán","9991495006, 9996435090",3,"-Administrativo, inventario, registro de pacientes, manejo de office word y excel para base de datos, gastos e ingresos
-Organización de eventos, registro de participantes, apoyo en pláticas, apoyo en la atención de los pacientes, registro de pacientes
-Redes sociales, diseño o mercadotecnia de campañas de atención a pacientes, para donativos y eventos que participe la organización",Lunes a Viernes de 9:00 a 13:00 h. Lunes y miercoles 15:30 a 19:30 hrs,N/A,Solo se aceptan mujeres en el voluntariado. 
5,FUNDACIÓN AMAR DEL SURESTE IAP,"Restituir a las niñas y niños que son acogidos en Casa Amar, por medio de una intervención integral, todos los derechos que se hayan vulnerado como resultado de la violencia y el descuido parental, en lo que se resuelve su situación jurídica y pueden integrarse a una familia.",ODS 3: Salud y bienestar.,"Lilly Reyes Rodriguez, Ana Luisa Campa Díaz de León, Yahaira Oxté Torres, Jessica Vela Aguilar",Lilly Reyes (999-9478434) Ana Luisa Campa (999-8020453) Yahaira Oxté Torres (9993370037) Jessica Vela (9811692439),4,"Apoyo en: almacén (acomodo de donaciones tanto de viveres y ropa), en cocina, desarrollo de material educativo para los niños albergados, y actividades varias (dependiendo de las actividades de la casa hogar). 
",Lunes a viernes  en un horario abierto de 10:00 a 16:00 h (puede ser 2 horas a la semana),"Se les da una inducción en el manejo de las donaciones y como acomodarlas, etc. ",N/A
6,"Asociación Doctores del Humor, I.A.P.",Llevar la geloterapia a los hospitales y albergues,ODS 3: Salud y bienestar.,Jorge Torres (Dr. Foforito),9992317371,6,Tener contacto con las personas que se encuentran en los albergues para platicar y escuchar sus historias,Sábados de las 9 a las 13 hrs,"Será necesario llevar bata blanca, o playera o blusa, o camisa blanca, nariz de payaso, maquillarse  como payaso de manera sencilla, frasco personal de gel antibacterial, zapatos cerrados y pelo recogido.",N/A
7,Banco de Alimentos Mérida A.C,Rescatar y redistribuir alimento para contribuir a reducir la inseguridad alimentaria de la población vulnerable y el impacto medio ambiental de su desperdicio.,ODS 2: Hambre cero.,LTS. Karina del Carmen Morales Heredia,beneficiarios2@bamxmerida.org.mx   /  9991482931,10,"-Pases de lista de asistencia (registro para control de entregas de alimento)
-Aplicación de estudios socionutricios a través de llamada a candidatos a inscripción
-Orientación y vigilancia de entrega de alimentos en sede BAMX a diversas comunidades
-Entrega de alimentos a titulares del programa ""Ruta de la caridad"" en días establecidos (acompañados del equipo BAMX)",Lunes a viernes 8:30 a 17:30 h / Sábados 8:00 a 12:30 h (horarios a elegir por el estudiante),Es necesario acudir al día de inducción para conocer instalaciones y tareas a realizar. El horario del día de inducción se ajusta a las posibilidades del estudiante.,N/A
8,ABPC Asociación Autismo Ángel IAP,Brindar atención integral a personas que se encuentran dentro de la neurodiversidad y/o discapacidad. ,ODS 3: Salud y bienestar.,Mtra. Angélica Caamal Bastarrachea,"999 157 9131 , patrono.presidenteam@gmail.com",4,Actividad de recaudación de fondos y donativos,"Turno vespertino y sabatino (flexible, contactar para saber horarios)",Inducción 2 horas en línea ,Se equiere la identificación y carta de presentación de UADY por cada voluntario hacia la asociación
9,Convivencia Mérida A.C.,Enriquecer la calidad de vida de las comunidades en dónde colaboramos.,ODS 11: Ciudades y comunidades sostenibles.,Sugely Maribel Marttínez Bojórquez,9997389818,5,"-Comité de Ciudadanía Responsable: Realización de mesas de trabajo de organización vecinal, para brindar capacitación y herramientas a la ciudadanía en materia de reportes y denuncias; buscando generar una red de apoyo y actuación en caso de que se genere cualquier situación relacionada con la seguridad comunitaria. Población: Adultos de entre 25 a 70 años.
-Diversión con propósito: Se fomenta la participación de las infancias a través de actividades recreativas con valor; generando un sentido de identidad comunitaria y educación extracurricular. Población: Infancias de entre 5 a 14 años.",Lunes a viernes de 9:00 a 17:00 h. ,Se imparte una breve capacitación y apoyo en elaboración de planeaación estratégica previo al inicio de las actividades.,N/A
10,CLUB ESPECIAL AYELEM AC,INCLUIR A LA SOCIEDAD DE MANERA DIGNA A PERSONAS CON DISCAPACIDAD INTELECTUAL A TRAVES DE DIVERSAS ACTIVIDADES,ODS 10: Reducción de las desigualdades.,MTRA NELLY CONCEPCION CANTON MENDEZ Y L.E.E. MARIA JARUMMY VILLANUEVA CANTON,9992563738 y 9993436258,6,DE ACUERDO Y A FIN A SU CARRERA,Lunes a viernes de 8:00 a 13:00 h,Curso de capacitación ,N/A
11,PASTORAL DEL AMOR,"FUNGIR EXCLUSIVAMENTE COMO UNA ORGANIZACIÓN SIN FINES DE LUCRO QUE TENGA COMO BENEFICIARIOS A PERSONAS DE ESCASOS RECURSOS CON PROBLEMAS DE DISCAPACIDAD FÍSICA Y/O INTELECTUAL, MEDIANTE ACTIVIDADES QUE TIENDAN A LOGRAR MEJORES CONDICIONES DE SUBSISTENCIA Y DESARROLLO PARA TALES BENEFICIARIOS.",ODS 3: Salud y bienestar.,Hna. Martha Patricia Villanueva Rosado,Hna. Martha Patricia Villanueva Rosado,2,Actividades relacionadas a sus programas,Lunes a viernes de 08:30 a 13:00 y de 16:00 a 18:00 hrs. Sábado de 16:00 hrs a 18:00 hrs.,Presentar disposición especialmente empática hacia las personas con discapacidad,N/A
12,Igualdad Sustantiva Yucatan A.C.,"Autonomía y emancipación sexual y reproductiva, económica, política y cultural de las Mujeres en la periferia Yucateca, con perspectiva intercultural y decolonial. Reducir las asimetrías de poder en torno a los derechos de las Mujeres, disidencias y diversidades sexuales. Prevenir y erradicar la violencia machista en todas sus expresiones. La defensa del Territorio desde la interculturalidad y decolonialidad.",ODS 10: Reducción de las desigualdades.,"Perla Tamayo Hoil, Kelly Ramírez Alpuche",perlatamayohoil@gmail.com; i.sustantiva@gmail.com,20,"Apoyo en ejecución de pláticas y talleres, acompañamientos y consejería psicológica.",A coordinar según la agenda de actividades de las personas voluntarias y de la asociación ,Tener presente una perspectiva de género y diversidad sexual y el uso de un lenguaje inclusivo no sexista.,N/A
13,ASOCIACIÓN CONTRA EL CÁNCER DE MAMA TÓCATE I.A.P.,PROMOCIÓN DE LA AUTOEXPLORACIÓN PARA LA DETECCÓN OPORTUNA DE CÁNCER DE MAMA,ODS 3: Salud y bienestar.,"GEOVANNA CONTRERAS, RUBEN PARRA",9991195280,1,"Apoyo emocional a pacientes recién diagnosticadas.
Acompañamiento psicológico durante el tratamiento (quimioterapia, radioterapia, cirugía).
Contención emocional en momentos de crisis, ansiedad o depresión.
Actividades grupales para fortalecer redes de apoyo.
Participación en campañas de concientización (mastografías, prevención).
Apoyo en ferias de salud y actividades comunitarias.",LUNES A VIERNES DE 9:OO A 17:00 h ,N/A,N/A
14,Amistad Erie-Yucatán A.C.,"Promover el desarrollo integral de niños, niñas, adolescentes y familias en situación de vulnerabilidad. Mediante programas y acciones que contribuyan al mejoramiento de vida y su entorno social.
",ODS 4: Educación de calidad.,"Tomasa Kantun Mex (coordinadora turno mañana), Cristina Casanova (coordinadora turno tarde) y Azucena Santos (Directora) ","9992316430 - Azucena, Cristina 9993264817 y Tomasa 9992585450",20,"-Asesorías académicas 
-Apoyo en cuidado y actividades con los niños y niñas
-Apoyo en mantenimiento y limpieza de instalaciones
-Apoyo en decoraciones 
-Apoyo en realización de control de donativos 
-Apoyo en peinado de las niñas ","Lunes, martes, jueves y viernes de 7:00 a 18:00 h ","Agendar una entrevista antes de iniciar el programa de voluntariado para resolver dudas y explicar todo lo relacionado con las instalaciones, programa de protección civil y con los niños",N/A
15,ASOCIACION YUCATECA DE LUCHA CONTRA EL AUTISMO Y OTROS TRASTORNOS DEL DESARROLLO A.C.,"Atención integral especializada en el diagnostico, intervención y tratamiento de niños, jóvenes y adultos con autismo.",ODS 4: Educación de calidad.,"LIC EN PSIC. ANDREA ZAVALA CASTILLA, LIC EN PSICOLOGIA ELIAN AYIL CAHUN, L.A. WENDY LÓPEZ",9992049481,4,"1. Elaboracion de manuales Perfiles de puestos
2.  Apoyo en creación de material para terapia
3. Acompañamiento en terapias psicoducativas
4. Apoyo en pláticas con padres de familia",Lunes a viernes de 8:00 a 13:00 h y sábados de 15:00 a 19:00 h ,Recibiran capacitación semanal por parte de la institución,N/A
